extension,mime_type
dotx,application/vnd.openxmlformats-officedocument.wordprocessingml.template
mgp,application/vnd.osgeo.mapguide.package
dp,application/vnd.osgi.dp
esa,application/vnd.osgi.subsystem
pdb,application/vnd.palm
pqa,application/vnd.palm
oprc,application/vnd.palm
paw,application/vnd.pawaafile
str,application/vnd.pg.format
ei6,application/vnd.pg.osasli
efif,application/vnd.picsel
wg,application/vnd.pmi.widget
plf,application/vnd.pocketlearn
pbd,application/vnd.powerbuilder6
box,application/vnd.previewsystems.box
mgz,application/vnd.proteus.magazine
qps,application/vnd.publishare-delta-tree
ptid,application/vnd.pvi.ptid1
qxd,application/vnd.quark.quarkxpress
qxt,application/vnd.quark.quarkxpress
qwd,application/vnd.quark.quarkxpress
qwt,application/vnd.quark.quarkxpress
qxl,application/vnd.quark.quarkxpress
qxb,application/vnd.quark.quarkxpress
bed,application/vnd.realvnc.bed
mxl,application/vnd.recordare.musicxml
musicxml,application/vnd.recordare.musicxml+xml
cryptonote,application/vnd.rig.cryptonote
cod,application/vnd.rim.cod
rm,application/vnd.rn-realmedia
rmvb,application/vnd.rn-realmedia-vbr
rnx,application/vnd.rn-realplayer
link66,application/vnd.route66.link66+xml
st,application/vnd.sailingtracker.track
see,application/vnd.seemail
sema,application/vnd.sema
semd,application/vnd.semd
semf,application/vnd.semf
ifm,application/vnd.shana.informed.formdata
itp,application/vnd.shana.informed.formtemplate
iif,application/vnd.shana.informed.interchange
ipk,application/vnd.shana.informed.package
twd,application/vnd.simtech-mindmapper
twds,application/vnd.simtech-mindmapper
mmf,application/vnd.smaf
teacher,application/vnd.smart.teacher
sdkm,application/vnd.solent.sdkm+xml
sdkd,application/vnd.solent.sdkm+xml
dxp,application/vnd.spotfire.dxp
sfs,application/vnd.spotfire.sfs
sdc,application/vnd.stardivision.calc
sda,application/vnd.stardivision.draw
sdd,application/vnd.stardivision.impress
sdp,application/vnd.stardivision.impress
smf,application/vnd.stardivision.math
sdw,application/vnd.stardivision.writer
vor,application/vnd.stardivision.writer
sgl,application/vnd.stardivision.writer-global
smzip,application/vnd.stepmania.package
sm,application/vnd.stepmania.stepchart
sxc,application/vnd.sun.xml.calc
stc,application/vnd.sun.xml.calc.template
sxd,application/vnd.sun.xml.draw
std,application/vnd.sun.xml.draw.template
sxi,application/vnd.sun.xml.impress
sti,application/vnd.sun.xml.impress.template
sxm,application/vnd.sun.xml.math
sxw,application/vnd.sun.xml.writer
sxg,application/vnd.sun.xml.writer.global
stw,application/vnd.sun.xml.writer.template
sus,application/vnd.sus-calendar
susp,application/vnd.sus-calendar
svd,application/vnd.svd
sis,application/vnd.symbian.install
sisx,application/vnd.symbian.install
xsm,application/vnd.syncml+xml
bdm,application/vnd.syncml.dm+wbxml
xdm,application/vnd.syncml.dm+xml
tao,application/vnd.tao.intent-module-archive
pcap,application/vnd.tcpdump.pcap
cap,application/vnd.tcpdump.pcap
dmp,application/vnd.tcpdump.pcap
tmo,application/vnd.tmobile-livetv
tpt,application/vnd.trid.tpt
mxs,application/vnd.triscape.mxs
tra,application/vnd.trueapp
ufd,application/vnd.ufdl
ufdl,application/vnd.ufdl
utz,application/vnd.uiq.theme
umj,application/vnd.umajin
unityweb,application/vnd.unity
uoml,application/vnd.uoml+xml
vcx,application/vnd.vcx
vsd,application/vnd.visio
vst,application/vnd.visio
vss,application/vnd.visio
vsw,application/vnd.visio
vis,application/vnd.visionary
vsf,application/vnd.vsf
sic,application/vnd.wap.sic
slc,application/vnd.wap.slc
wbxml,application/vnd.wap.wbxml
